"ifis_id","link_id","foreign_id","description"
598,318225,"05454500","Iowa River at Iowa City (IOWI4-05454500)"
600,318272,"05455700","Iowa River near Lone Tree (LNTI4-05455700)"
534,323529,"05451210","South Fork Iowa River NE at New Providence (05451210)"
551,323592,"05463500","Black Hawk Creek at Hudson (05463500)"
1611,325461,"05469860","Mud Lake Drainage Ditch 71 at Jewell (05469860)"
659,326618,"06607200","Maple River at Mapleton (MAPI4-06607200)"
575,326673,"06602400","Monona-Harrison Ditch near Turin (06602400)"
660,326674,"06607500","Little Sioux River near Turin (TURI4-06607500)"
528,326825,"05421682","Buffalo Creek South of Prairieburg (05421682)"
564,334282,"05482300","North Raccoon River near Sac City (05482300)"
633,334360,"05482430","North Raccoon River near Lanesboro (LKCI4-05482430)"
634,334449,"05482500","North Raccoon River near Jefferson (EFWI4-05482500)"
705,334518,"proi4","North Raccoon River near Perry (PROI4)"
1689,338412,"06602298","East Fork Wolf Creek near Oto (06602298)"
607,350386,"05463000","Beaver Creek at New Hartford (NHRI4-05463000)"
1683,360567,"05418110","NF Maquoketa River below Bear Cr at Dyersville (05418110)"
1682,360958,"05414400","Middle Fk Little Maquoketa R near Rickardsville (05414400)"
652,361015,"06600000","Perry Creek at 38th St at Sioux City (SIOI4-06600000)"
608,367567,"05463050","Cedar River at Cedar Falls (CEDI4-05463050)"
609,367593,"05464000","Cedar River at Waterloo (ALOI4-05464000)"
1610,367697,"05464315","Cedar River at Vinton (05464315)"
610,367697,"vini4","Cedar River at Vinton (VINI4-05464315)"
611,367769,"05464420","Cedar River at Blairs Ferry Rd at Palo (PLOI4-05464420)"
612,367813,"05464500","Cedar River at Cedar Rapids (CIDI4-05464500)"
1688,367916,"05464780","Cedar River at Cedar Bluff (05464780)"
613,368052,"05465000","Cedar River near Conesville (CNEI4-05465000)"
679,368079,"cjti4","Iowa River at Columbus Junction (CJTI4)"
614,368123,"05465500","Iowa River at Wapello (WAPI4-05465500)"
615,368142,"05465700","Iowa River at Oakville (OKVI4-05465700)"
590,368221,"05416900","Maquoketa River at Manchester (MCHI4-05416900)"
561,372747,"05480080","Lizard Creek near Fort Dodge (05480080)"
655,374994,"06602020","West Fork Ditch at Hornick (HOKI4-06602020)"
628,378268,"05480500","Des Moines River at Fort Dodge (FODI4-05480500)"
630,378371,"05481300","Des Moines River near Stratford (STRI4-05481300)"
1632,378533,"sayi4","Des Moines River at Saylorville Reservoir (SAYI4)"
563,378537,"05481650","Des Moines River near Saylorville (05481650)"
632,378559,"05482000","Des Moines River at 2nd Ave at Des Moines (DMOI4-05482000)"
650,387745,"06599900","Perry Creek near Milnerville (PCMI4-06599900)"
651,387769,"06599950","Perry Creek near Hinton (PCHI4-06599950)"
